geoid,name,B25070001,"B25070001, Error",B25070002,"B25070002, Error",B25070003,"B25070003, Error",B25070004,"B25070004, Error",B25070005,"B25070005, Error",B25070006,"B25070006, Error",B25070007,"B25070007, Error",B25070008,"B25070008, Error",B25070009,"B25070009, Error",B25070010,"B25070010, Error",B25070011,"B25070011, Error"
86000US10112,"10112",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10115,"10115",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10119,"10119",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10128,"10128",21089,1459,1493,497,1991,322,2915,486,3279,643,2287,624,1755,358,696,233,899,277,4892,1007,882,346
86000US10152,"10152",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10153,"10153",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10154,"10154",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10162,"10162",746,331,19,34,61,48,129,92,59,72,87,98,0,14,0,14,15,25,363,269,13,24
86000US10165,"10165",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10167,"10167",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10168,"10168",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10169,"10169",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10170,"10170",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10171,"10171",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10172,"10172",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10173,"10173",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10174,"10174",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10177,"10177",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10199,"10199",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10271,"10271",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10278,"10278",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10279,"10279",84,75,84,75,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10280,"10280",2780,622,245,203,517,389,458,297,185,141,422,305,248,166,96,92,0,19,609,280,0,19
86000US10282,"10282",2104,373,374,187,311,198,333,177,160,146,75,55,233,167,129,97,115,79,358,267,16,25
86000US10301,"10301",7900,618,355,152,781,221,780,263,613,219,720,226,768,232,653,270,612,174,2008,385,610,248
86000US10302,"10302",2722,451,85,81,75,56,251,163,72,59,172,112,11,15,315,257,396,172,1034,273,311,215
86000US10303,"10303",3053,408,168,113,261,180,186,141,270,129,249,132,251,190,117,99,193,141,1198,304,160,83
86000US10304,"10304",7988,617,291,156,905,354,566,228,865,245,721,275,471,184,534,253,829,236,2401,534,405,170
86000US10305,"10305",5537,556,241,136,414,196,710,229,486,161,377,194,334,127,403,165,386,154,1647,358,539,227
86000US10306,"10306",6163,680,152,100,443,233,863,357,475,192,439,184,661,251,390,186,459,247,2004,444,277,123
86000US10307,"10307",822,235,0,21,73,93,72,91,148,118,89,78,72,65,0,21,96,92,116,71,156,133
86000US10308,"10308",2128,364,0,29,212,163,215,121,91,84,196,158,449,248,49,46,105,96,384,180,427,210
86000US10309,"10309",2892,768,102,100,170,87,287,197,196,164,162,164,423,412,149,134,135,102,1051,488,217,147
86000US10310,"10310",3615,464,307,125,155,97,473,321,253,123,297,165,165,84,141,72,314,163,1093,255,417,203
86000US10311,"10311",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10312,"10312",3779,641,144,103,367,211,283,217,318,149,258,152,549,353,123,84,251,144,1081,310,405,190
86000US10314,"10314",8490,789,383,204,1204,312,829,327,657,219,892,271,465,194,682,250,522,235,2168,438,688,214
86000US10451,"10451",19333,1048,965,368,1123,377,1804,542,1207,437,1905,486,1927,590,1087,350,1665,434,6917,830,733,325
86000US10452,"10452",27776,953,835,274,1906,517,2458,481,2559,545,2038,571,2408,505,1550,455,2636,587,10080,1095,1306,365
86000US10453,"10453",26922,983,1123,325,1707,468,1983,442,1768,437,1927,389,1720,408,1734,500,2255,511,10286,987,2419,678
86000US10454,"10454",14112,753,522,220,891,294,850,332,1324,380,1557,431,1305,476,935,287,806,234,5002,660,920,345
86000US10455,"10455",15075,1009,842,320,1145,340,1060,288,1500,418,1033,351,1404,567,976,327,1390,567,5032,874,693,288
86000US10456,"10456",30406,1438,1410,367,2054,664,2446,604,2679,642,3091,585,2640,618,1687,452,1943,470,11195,1125,1261,439
86000US10457,"10457",26242,968,1203,360,1818,413,1924,453,2808,469,2639,525,1744,410,1634,507,2491,595,8573,801,1408,333
86000US10458,"10458",27899,1183,831,335,1855,423,2254,493,2154,459,2833,594,3002,645,1340,307,2233,511,10274,963,1123,332
86000US10459,"10459",16123,921,752,261,1085,295,1205,314,1364,340,1208,281,1169,319,971,281,1172,429,6292,613,905,330
86000US10460,"10460",20818,899,556,245,1500,447,1663,410,2259,486,1709,357,1556,376,942,281,1686,392,7852,784,1095,309
86000US10461,"10461",13645,706,397,195,1029,268,1185,280,1601,344,1126,260,1261,333,738,231,1282,277,4430,651,596,226
86000US10462,"10462",22738,992,464,185,1351,325,2771,598,2182,374,2144,410,1503,328,1618,349,2075,357,7650,794,980,263
86000US10463,"10463",18964,994,596,178,1610,441,2337,467,2117,387,1449,386,1191,368,1114,345,2073,409,5586,805,891,321
86000US10464,"10464",500,205,0,14,24,44,0,14,92,118,68,82,24,40,0,14,78,121,140,122,74,57
86000US10465,"10465",7102,625,465,187,903,286,435,196,552,166,667,187,532,175,685,355,236,134,2294,393,333,126
86000US10466,"10466",14987,985,694,252,900,344,897,288,1936,448,1692,390,877,280,1280,427,1414,337,4791,708,506,242
86000US10467,"10467",32910,1037,1069,282,1601,321,3759,680,3082,439,3477,588,2530,494,1853,355,2586,487,10930,800,2023,405
86000US10468,"10468",26029,1399,404,190,1714,372,2434,549,1962,358,1902,411,2353,607,1583,354,2731,659,9659,1106,1287,359
86000US10469,"10469",11632,768,553,209,700,226,1148,351,1033,285,883,275,924,340,626,234,1122,345,3706,471,937,327
86000US10470,"10470",3790,436,134,120,245,132,438,129,753,304,328,118,339,157,258,160,294,134,805,225,196,175
86000US10471,"10471",3785,498,229,140,541,243,270,105,526,220,344,118,581,177,117,71,336,138,553,169,288,136
86000US10472,"10472",18578,704,858,257,1036,275,1370,316,966,228,1567,366,1404,358,1513,364,1460,346,6718,660,1686,404
86000US10473,"10473",16300,913,1099,415,1775,545,1256,407,1317,459,1719,372,2040,500,807,287,1585,481,3913,638,789,331
86000US10474,"10474",3501,378,160,129,296,232,453,168,281,139,220,157,198,133,230,115,207,110,1402,316,54,57
86000US10475,"10475",10823,972,491,258,807,278,1631,327,1296,377,1219,503,1532,507,451,185,1161,536,1907,358,328,193
86000US10550,"10550",10709,878,334,164,763,292,730,268,1030,428,1325,428,1210,373,381,222,1153,320,2963,644,820,273
86000US10704,"10704",4761,577,161,104,385,149,815,311,729,322,281,154,311,174,312,172,523,186,1078,311,166,114
86000US10705,"10705",9514,704,512,229,669,241,1021,309,829,247,1020,351,926,351,601,285,672,224,2783,432,481,172
86000US10803,"10803",903,166,41,34,91,59,69,51,175,103,92,59,19,25,112,91,76,65,119,75,109,82
86000US10805,"10805",4659,485,204,172,275,140,666,159,687,245,676,233,282,161,179,97,549,187,961,355,180,108
86000US11001,"11001",1245,222,87,62,55,42,122,77,143,66,116,90,44,33,51,40,132,82,363,121,132,61
86000US11003,"11003",2525,558,97,77,209,160,298,191,203,128,197,88,85,74,124,114,247,145,625,253,440,383
86000US11004,"11004",1438,335,157,126,144,134,185,113,277,135,108,84,83,74,25,30,147,128,226,135,86,85
86000US11005,"11005",84,55,0,14,0,14,0,14,11,17,11,18,0,14,9,15,26,40,27,25,0,14
86000US11020,"11020",238,166,0,19,15,22,43,45,110,164,20,32,0,19,10,14,11,15,20,19,9,10
86000US11021,"11021",2413,300,146,70,158,84,284,100,255,108,134,80,246,154,141,78,174,121,601,218,274,184
86000US11040,"11040",1535,350,123,93,97,72,209,213,231,115,167,122,76,56,53,38,30,30,460,169,89,52
86000US11042,"11042",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11096,"11096",1283,253,43,48,26,43,29,46,137,103,237,142,125,89,73,63,65,57,480,182,68,68
86000US11101,"11101",17939,1129,650,179,2391,598,2312,418,2725,498,2028,399,1539,293,1260,510,855,269,3440,463,739,266
86000US11102,"11102",12063,695,611,204,896,302,1737,275,2033,350,1443,323,1299,266,751,213,515,146,2407,531,371,160
86000US11103,"11103",13998,768,568,149,1226,259,1836,354,2174,382,1643,282,1106,264,959,291,1207,220,2848,390,431,160
86000US11104,"11104",9791,519,375,147,1191,318,1023,193,1033,235,990,209,1021,320,1056,296,1062,305,1859,310,181,121
86000US11105,"11105",12076,551,572,210,1006,217,1862,283,1795,315,1426,287,1050,232,776,227,869,265,2291,342,429,134
86000US11106,"11106",16088,705,579,183,1634,302,2186,453,1886,324,2085,436,1212,274,1184,271,1071,237,3679,488,572,241
86000US11109,"11109",3281,331,176,98,347,136,532,317,632,206,485,221,308,177,79,57,205,148,420,170,97,62
86000US11201,"11201",21810,1122,1741,379,2448,384,3249,459,3070,620,2051,344,2082,411,925,307,1293,300,4080,615,871,295
86000US11203,"11203",17665,848,669,214,1288,312,1816,395,1467,320,1591,334,1388,287,1289,370,1310,344,5458,532,1389,363
86000US11204,"11204",16297,996,553,214,935,202,1773,393,1892,346,1235,322,1080,298,1272,472,1551,294,4963,668,1043,228
86000US11205,"11205",12908,629,982,298,1162,252,1411,343,1589,317,1581,283,865,242,792,246,599,246,3544,485,383,185
86000US11206,"11206",30955,1020,1738,423,1940,366,3026,432,3792,587,3968,589,3719,627,2259,435,2032,513,7470,738,1011,318
86000US11207,"11207",26405,1076,1321,389,1876,366,2249,479,2854,508,2371,417,2398,515,1708,381,1939,437,7510,706,2179,574
86000US11208,"11208",25836,1231,2216,500,1779,319,2442,486,2475,576,2188,404,1630,326,1774,604,1979,417,7574,1001,1779,487
86000US11209,"11209",19413,807,980,224,1915,380,2764,328,2155,319,2021,318,1557,290,866,212,1078,261,5101,445,976,214
86000US11210,"11210",11562,851,341,126,1026,335,1256,318,1127,243,1271,279,830,239,696,227,978,312,3513,476,524,234
86000US11211,"11211",23292,1141,1653,404,2491,387,3115,474,3144,785,2719,582,1394,357,912,294,1240,276,5879,617,745,259
86000US11212,"11212",28705,1254,1479,395,2283,446,2511,731,2897,713,2432,553,2042,520,2020,624,2314,551,9035,1138,1692,447
86000US11213,"11213",22771,1047,936,231,1900,556,2877,534,2582,400,1767,290,2007,404,1380,380,2034,544,6603,707,685,244
86000US11214,"11214",20173,802,896,266,1453,268,2005,281,2239,444,1941,377,1857,371,1015,239,1657,321,6028,555,1082,231
86000US11215,"11215",17187,965,1082,222,2388,501,2720,358,2524,495,2135,486,1338,268,761,199,1204,304,2372,446,663,238
86000US11216,"11216",21352,989,976,258,1987,346,2393,385,3500,575,2925,461,1554,304,1168,271,1657,380,4473,598,719,229
