geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
86000US11426,"11426",6397,423,4492,407,1905,405
86000US11427,"11427",8321,502,5245,511,3076,358
86000US11428,"11428",5946,503,4366,452,1580,269
86000US11429,"11429",8136,580,5916,509,2220,452
86000US11430,"11430",0,14,0,14,0,14
86000US11432,"11432",20793,1096,7447,576,13346,1076
86000US11433,"11433",11214,443,5316,426,5898,471
86000US11434,"11434",22851,814,10852,668,11999,867
86000US11435,"11435",20083,919,7230,600,12853,945
86000US11436,"11436",6568,377,4274,350,2294,274
86000US11439,"11439",0,14,0,14,0,14
86000US11451,"11451",0,14,0,14,0,14
86000US11509,"11509",792,114,699,102,93,41
86000US11559,"11559",2636,434,2007,344,629,242
86000US11580,"11580",12860,653,10656,635,2204,512
86000US11581,"11581",7120,449,5939,461,1181,351
86000US11691,"11691",23039,913,6374,665,16665,865
86000US11692,"11692",8070,496,2670,411,5400,505
86000US11693,"11693",5559,543,2712,404,2847,418
86000US11694,"11694",8165,408,4202,394,3963,414
86000US11697,"11697",1870,239,1855,243,15,17
