geoid,name,B25002001,"B25002001, Error",B25002002,"B25002002, Error",B25002003,"B25002003, Error"
86000US11414,"11414",12154,701,11346,730,808,304
86000US11415,"11415",9811,461,9085,437,726,235
86000US11416,"11416",8026,459,7535,492,491,149
86000US11417,"11417",9943,480,9505,499,438,139
86000US11418,"11418",12005,637,11643,666,362,153
86000US11419,"11419",14053,732,13300,748,753,188
86000US11420,"11420",14704,581,14001,591,703,170
86000US11421,"11421",12848,643,12112,639,736,199
86000US11422,"11422",10711,545,10325,525,386,165
86000US11423,"11423",10201,661,9623,688,578,184
86000US11424,"11424",0,14,0,14,0,14
86000US11426,"11426",6734,418,6397,423,337,202
86000US11427,"11427",8540,490,8321,502,219,132
86000US11428,"11428",6187,513,5946,503,241,112
86000US11429,"11429",8532,577,8136,580,396,146
86000US11430,"11430",0,14,0,14,0,14
86000US11432,"11432",22157,1104,20793,1096,1364,307
86000US11433,"11433",12261,496,11214,443,1047,206
86000US11434,"11434",23845,794,22851,814,994,256
86000US11435,"11435",21405,833,20083,919,1322,334
86000US11436,"11436",6843,356,6568,377,275,93
86000US11439,"11439",0,14,0,14,0,14
86000US11451,"11451",0,14,0,14,0,14
86000US11509,"11509",1172,133,792,114,380,106
86000US11559,"11559",2871,437,2636,434,235,134
86000US11580,"11580",13468,665,12860,653,608,225
86000US11581,"11581",7363,441,7120,449,243,161
86000US11691,"11691",24072,924,23039,913,1033,320
86000US11692,"11692",8415,488,8070,496,345,176
86000US11693,"11693",5922,566,5559,543,363,163
86000US11694,"11694",9078,391,8165,408,913,281
86000US11697,"11697",2873,252,1870,239,1003,210
