geoid,name,B25034001,"B25034001, Error",B25034002,"B25034002, Error",B25034003,"B25034003, Error",B25034004,"B25034004, Error",B25034005,"B25034005, Error",B25034006,"B25034006, Error",B25034007,"B25034007, Error",B25034008,"B25034008, Error",B25034009,"B25034009, Error",B25034010,"B25034010, Error",B25034011,"B25034011, Error"
86000US10115,"10115",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10119,"10119",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10128,"10128",36176,1439,73,72,721,187,1512,353,1772,369,4132,621,5817,827,3763,619,2821,647,2305,518,13260,1082
86000US10152,"10152",87,53,0,14,30,42,23,36,0,14,0,14,0,14,0,14,0,14,12,19,22,36
86000US10153,"10153",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10154,"10154",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10162,"10162",899,347,0,14,19,30,0,14,0,14,0,14,175,145,574,340,29,36,27,38,75,74
86000US10165,"10165",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10167,"10167",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10168,"10168",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10169,"10169",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10170,"10170",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10171,"10171",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10172,"10172",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10173,"10173",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10174,"10174",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10177,"10177",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10199,"10199",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10271,"10271",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10278,"10278",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10279,"10279",98,78,0,14,98,78,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10280,"10280",4880,732,32,52,53,65,0,19,662,420,3609,609,524,310,0,19,0,19,0,19,0,19
86000US10282,"10282",2841,362,0,19,223,118,1394,311,921,362,199,149,46,55,0,19,22,36,0,19,36,63
86000US10301,"10301",16628,613,114,97,539,187,1028,201,646,209,793,192,1374,247,2327,403,2126,389,1236,232,6445,642
86000US10302,"10302",6658,527,34,53,349,199,639,217,450,139,265,184,206,121,611,212,803,263,677,193,2624,426
86000US10303,"10303",9684,505,32,64,376,146,1250,303,1554,319,1618,320,651,196,965,236,721,228,388,141,2129,354
86000US10304,"10304",17190,798,87,73,1625,420,1314,237,1363,268,1655,317,1609,457,2110,360,2538,556,884,288,4005,481
86000US10305,"10305",17049,836,94,63,698,203,2279,549,1783,356,1719,298,2600,379,2638,359,1601,342,735,254,2902,555
86000US10306,"10306",21383,818,72,72,1089,314,1402,252,1611,302,2411,420,2995,502,5014,448,2956,549,912,226,2921,507
86000US10307,"10307",5564,286,146,182,521,212,855,218,1319,359,789,269,201,131,106,93,81,61,266,121,1280,258
86000US10308,"10308",11243,628,0,29,438,278,647,252,1342,317,1405,379,3068,403,2172,384,679,258,534,212,958,305
86000US10309,"10309",12921,805,138,107,1112,363,1881,350,2457,399,4259,548,959,489,626,204,488,346,142,82,859,291
86000US10310,"10310",9866,604,0,25,245,136,959,266,586,260,487,154,554,186,962,263,1213,364,612,261,4248,448
86000US10311,"10311",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
